"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ano1",4.07285461735803e-26,1.03496113229654,0.267,0.16,7.81540072524832e-22
"Snd1",7.82047941817968e-26,0.818079709403429,0.397,0.278,1.5006717955545e-21
"COX3",1.16957089967173e-25,0.899307302870091,0.937,0.957,2.24428959938008e-21
"Ptma",1.30467610627277e-25,0.375850702043745,0.788,0.704,2.50354298032682e-21
"Ndufa1",2.82627828206365e-25,0.615403940441273,0.403,0.279,5.42334539545194e-21
"Clic4",8.36773421159982e-25,0.857914485432938,0.311,0.2,1.60568451786389e-20
"Uqcrq",1.41038132920407e-24,0.34795950113034,0.696,0.585,2.7063807326097e-20
"Ndufa13",1.91812626167604e-24,0.406733472005388,0.652,0.543,3.68069248353015e-20
"Rps16",4.53353884477643e-24,0.264552902229094,0.972,0.948,8.69940768924149e-20
"Btg2",4.70755414780691e-24,0.646348474142106,0.619,0.489,9.03332565422667e-20
"Atp5mj",5.45825683275989e-24,0.57035704903701,0.436,0.317,1.04738490363829e-19
"Iqgap2",6.55203308679912e-24,0.680716430578355,0.544,0.444,1.25726962902588e-19
"Tesc",7.54139111261388e-24,0.277730096628117,0.824,0.718,1.44711754059948e-19
"Eif3c",7.84692296520845e-24,0.890788846748126,0.272,0.166,1.50574604779385e-19
"Eif3a",9.96605452990907e-24,0.804451430978073,0.362,0.251,1.91238620374425e-19
"Canx",1.48430151892047e-23,0.842623628715536,0.298,0.191,2.84822618465649e-19
"Ube2h",6.51927505797192e-23,0.902342384213489,0.262,0.159,1.25098369087423e-18
"Rdx",7.72793214082436e-23,0.730831565203676,0.324,0.213,1.48291289850279e-18
"Tomm7",1.02939041812585e-22,0.699767744877234,0.364,0.253,1.9752972733417e-18
"Ncl",1.42397311416515e-22,0.889948376937866,0.287,0.183,2.7324620087715e-18
"Hes1",7.07594092169866e-22,1.05905293880745,0.262,0.166,1.35780230346475e-17
"Mif",8.62384280641914e-22,0.514934030146758,0.341,0.229,1.65482919612377e-17
"Elmo1",1.8090036637738e-21,0.74176624932977,0.321,0.215,3.47129713041554e-17
"Abhd11os",2.70294303096721e-21,0.879035311555675,0.263,0.166,5.18667738212298e-17
"Nbea",3.04223431653662e-21,0.78932956824613,0.36,0.259,5.83774343000211e-17
"Kcnk1",3.42813623558612e-21,0.663494795397314,0.28,0.176,6.5782506224662e-17
"Stk11",5.13112216988878e-21,0.596757781661746,0.355,0.242,9.84611033179957e-17
"Tex15",6.43678430769615e-21,0.862591825227643,0.262,0.164,1.23515454080381e-16
"Atxn1",1.04767789096168e-20,0.688768611650299,0.464,0.363,2.01038910496637e-16
"Ccser1",1.17821088004031e-20,0.801521508651039,0.292,0.191,2.26086885770936e-16
"Ptprk",1.51843964067838e-20,0.802180070097839,0.309,0.207,2.91373382649774e-16
"Slc12a8",3.74820611773393e-20,0.606810305597222,0.504,0.405,7.19243271931964e-16
"Fam3d",5.97712952287718e-20,0.347315793120028,0.794,0.707,1.1469513841449e-15
"Map3k1",1.15468511261799e-19,0.775231590768342,0.296,0.198,2.21572526260265e-15
"Aopep",1.17778216685934e-19,0.794545029124762,0.267,0.171,2.26004619998638e-15
"Nsd3",2.46648597664452e-19,0.662764678963067,0.304,0.202,4.73293994058317e-15
"Fry",3.27295811588842e-19,0.642753633327567,0.438,0.341,6.28047932857828e-15
"Eif4g1",3.39991316087233e-19,0.656094785470604,0.341,0.24,6.52409336439792e-15
"Rere",3.63256997330349e-19,0.819978557187276,0.262,0.167,6.97053852177208e-15
