"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ndufs85",2.91489837850779e-11,0.573289994953584,0.282,0.159,5.83737549279971e-07,"27","Ndufs8"
"Nr3c28",4.75112523352808e-11,0.612134907486389,0.33,0.198,9.51460339266333e-07,"27","Nr3c2"
"Glg16",4.75749055413622e-11,0.845230209192263,0.268,0.154,9.52735058371319e-07,"27","Glg1"
"Phb16",8.7034601785579e-11,0.518420598511637,0.277,0.156,1.742954935358e-06,"27","Phb1"
"Timm139",1.01680953398921e-10,0.407697079271019,0.377,0.232,2.0362627727668e-06,"27","Timm13"
"Echs18",1.11226063875297e-10,0.700331246398113,0.3,0.18,2.2274131551667e-06,"27","Echs1"
"Selenom8",1.19601309564279e-10,0.741156803238357,0.291,0.174,2.39513582533426e-06,"27","Selenom"
"Ifi278",1.54468529158403e-10,0.289742902552477,0.527,0.368,3.09338676492618e-06,"27","Ifi27"
"Ralbp110",2.49549161122783e-10,0.751117413976895,0.277,0.165,4.99747150064486e-06,"27","Ralbp1"
"Ndufa67",3.04670190408741e-10,0.257596061716027,0.464,0.302,6.10132523312545e-06,"27","Ndufa6"
"Kctd18",4.01534668416616e-10,0.722456763781554,0.277,0.165,8.04113326971115e-06,"27","Kctd1"
"Arid1b11",4.14331895944017e-10,0.689427334583986,0.289,0.173,8.29741054817489e-06,"27","Arid1b"
"Mrps145",5.96927173771114e-10,0.548313335481558,0.282,0.165,1.19540635819403e-05,"27","Mrps14"
"Afdn6",6.04741118698696e-10,0.756756471742281,0.261,0.154,1.21105456430601e-05,"27","Afdn"
"Fbxl1710",6.71578329183762e-10,0.822958321305234,0.257,0.152,1.3449027620234e-05,"27","Fbxl17"
"Fis16",7.1444401666483e-10,0.451560963619401,0.266,0.152,1.43074558777299e-05,"27","Fis1"
"Mrps246",8.04950811381798e-10,0.524285114221291,0.291,0.174,1.61199449487319e-05,"27","Mrps24"
"Pkm6",9.11738271734664e-10,0.444981657814476,0.355,0.223,1.82584706297584e-05,"27","Pkm"
"Atp6v0b8",9.7370737687431e-10,0.513046799061644,0.364,0.238,1.94994639292849e-05,"27","Atp6v0b"
"Mrpl544",1.0055108449336e-09,0.539909632716228,0.252,0.144,2.01363601806402e-05,"27","Mrpl54"
"Akap139",1.24188718504914e-09,0.467658398245742,0.411,0.273,2.48700327677941e-05,"27","Akap13"
"Pgls9",1.29449602857021e-09,0.553475667408748,0.32,0.202,2.59235774681471e-05,"27","Pgls"
"Uqcc28",1.43977626936332e-09,0.419789325509064,0.286,0.168,2.88329595702698e-05,"27","Uqcc2"
"Pten6",1.63517474315254e-09,0.769341942862126,0.25,0.147,3.27460094063727e-05,"27","Pten"
"Neat110",2.08315536814316e-09,0.308750542304904,0.57,0.419,4.17172694024349e-05,"27","Neat1"
"Rabgap1l8",2.17478165188714e-09,0.686242695180519,0.266,0.159,4.35521773606918e-05,"27","Rabgap1l"
"Rsrp112",2.68992197048654e-09,0.556213618698584,0.352,0.227,5.38683773809635e-05,"27","Rsrp1"
"Tm9sf310",2.9398540227038e-09,0.59548000701445,0.302,0.187,5.88735166586662e-05,"27","Tm9sf3"
"Pabpc17",2.96590822197891e-09,0.409371238266865,0.532,0.386,5.93952780533496e-05,"27","Pabpc1"
"Tmbim610",3.12192398932663e-09,0.630589227060622,0.368,0.251,6.2519649810255e-05,"27","Tmbim6"
"Mrpl148",9.2560765954808e-09,0.469513509238541,0.277,0.168,0.000185362189901099,"27","Mrpl14"
"Psap8",1.0409157297326e-08,0.684147070822076,0.266,0.163,0.00020845378403625,"27","Psap"
"Wwox10",1.07942361848259e-08,0.668484429055603,0.282,0.175,0.000216165373837323,"27","Wwox"
"Clstn110",1.34216542244684e-08,0.635245987544379,0.298,0.19,0.000268782047499203,"27","Clstn1"
"Ogdh5",1.36993739353972e-08,0.48723587876413,0.318,0.201,0.000274343662430264,"27","Ogdh"
"Hectd19",2.04258255557408e-08,0.64070027025479,0.255,0.156,0.000409047582579266,"27","Hectd1"
"Krt88",3.59437429211771e-08,0.389409309759916,0.418,0.294,0.000719809395739492,"27","Krt8"
"Golgb19",3.88094423202719e-08,0.597260856943987,0.275,0.173,0.000777197891905766,"27","Golgb1"
"Ndufs36",7.9222163842661e-08,0.345611006595445,0.293,0.185,0.00158650305311313,"27","Ndufs3"
"Lrba8",8.7922372419298e-08,0.63042884885752,0.252,0.157,0.00176073343006886,"27","Lrba"
"Abracl8",1.0102736670937e-07,0.288964665649054,0.268,0.164,0.00202317404572185,"27","Abracl"
"Uqcrc15",1.13282831949994e-07,0.577271702479281,0.28,0.179,0.00226860199263058,"27","Uqcrc1"
"Ndufs47",1.69837165090824e-07,0.414549039021974,0.314,0.206,0.00340115906810885,"27","Ndufs4"
"Gpi15",3.24737574735653e-07,0.467155357839996,0.275,0.176,0.00650319467165618,"27","Gpi1"
"Cab397",4.48912304875051e-07,0.478822586001628,0.259,0.164,0.00898991781742776,"27","Cab39"
"Uqcrc27",5.04815310956976e-07,0.395852399265286,0.298,0.195,0.0101094314172244,"27","Uqcrc2"
"Erbin7",6.75257299307983e-07,0.374389730348954,0.377,0.261,0.0135227026759417,"27","Erbin"
"Shroom310",8.88057967063894e-07,0.555676244725621,0.375,0.264,0.0177842488484215,"27","Shroom3"
"Macf111",1.1213140784814e-06,0.314711226975739,0.393,0.274,0.0224554357356685,"27","Macf1"
"Rbm4713",1.18779515700772e-06,0.374302849165594,0.409,0.296,0.0237867858142366,"27","Rbm47"
"Spcs27",1.39750902677169e-06,0.619369769260611,0.318,0.23,0.02798651577013,"27","Spcs2"
"Alcam8",1.63442320010658e-06,0.547995647651077,0.261,0.175,0.0327309590053343,"27","Alcam"
"Mogat17",3.7702866420319e-06,0.474881259008668,0.511,0.436,0.0755037602933307,"27","Mogat1"
"Atp2a211",7.27697477773075e-06,0.36861691486942,0.261,0.176,0.145728696898836,"27","Atp2a2"
"Itpr18",7.53570387435362e-06,0.475113290525195,0.289,0.201,0.150910005787806,"27","Itpr1"
"Atrx12",8.31877852759457e-06,0.62105227396344,0.266,0.186,0.166591858793609,"27","Atrx"
"Msi211",8.59955903843663e-06,0.322047759102166,0.355,0.255,0.172214769303732,"27","Msi2"
"Stox211",1.50453956522991e-05,0.517287677254808,0.286,0.205,0.301299093332941,"27","Stox2"
"Cpd9",1.86456084012895e-05,0.281339054467701,0.336,0.241,0.373396953844224,"27","Cpd"
"Stx76",2.64486607117206e-05,0.257903612240562,0.295,0.204,0.529660879412917,"27","Stx7"
"Kif1b9",5.62198436165814e-05,0.540071081719772,0.252,0.179,1,"27","Kif1b"
"Nktr10",0.00042972946579387,0.390194675867017,0.261,0.195,1,"27","Nktr"
"Tcf2511",0.000566389844345772,0.318852031945743,0.252,0.184,1,"27","Tcf25"
