"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccser1",1.56799931382429e-105,1.56299281551043,0.365,0.218,2.99001789153153e-101,"0","Ccser1"
"Dpyd",1.62564014549746e-105,1.56075345619024,0.361,0.211,3.09993319344911e-101,"0","Dpyd"
"Sorbs2",3.17799194078899e-105,1.48007116948902,0.411,0.268,6.06011283189053e-101,"0","Sorbs2"
"Mia2",3.62567914120083e-105,1.01004673886727,0.564,0.417,6.91380755435586e-101,"0","Mia2"
"Pnisr",5.90309774650414e-105,1.75011699624235,0.291,0.148,1.12566170928087e-100,"0","Pnisr"
"Dnajc1",4.01524992522083e-104,1.23130788231582,0.478,0.333,7.6566800824036e-100,"0","Dnajc1"
"Zfhx3",5.20377615804953e-102,1.5896190674131,0.379,0.239,9.92308075578466e-98,"0","Zfhx3"
"Arhgef10l",4.17640047999688e-101,1.62022621189007,0.306,0.163,7.96397807530605e-97,"0","Arhgef10l"
"Lpo2",1.98650535343215e-100,0.589741853888567,0.786,0.571,3.78806705845976e-96,"0","Lpo"
"Tram11",3.21210814412449e-99,0.628079672407622,0.81,0.63,6.12516902003098e-95,"0","Tram1"
"Rbm391",4.06804518297273e-98,1.08772381734582,0.515,0.372,7.7573553594107e-94,"0","Rbm39"
"Ddx17",8.31331583678642e-98,1.65242367915325,0.284,0.145,1.5852661969168e-93,"0","Ddx17"
"Zcchc7",2.186018306622e-97,1.56436224612193,0.329,0.189,4.1685183088975e-93,"0","Zcchc7"
"Cald11",2.86181445931254e-94,0.902965446922635,0.591,0.435,5.45719399246308e-90,"0","Cald1"
"Golgb1",2.38022844366522e-93,1.2917821734605,0.455,0.328,4.53885761922522e-89,"0","Golgb1"
"Mob3b",4.2123638203366e-93,1.46026717935136,0.381,0.248,8.03255656899986e-89,"0","Mob3b"
"Syne2",9.93938305456252e-93,1.60648394244869,0.307,0.172,1.89534095467453e-88,"0","Syne2"
"Oxr1",9.52437735630369e-90,1.52073476858846,0.354,0.221,1.81620351807355e-85,"0","Oxr1"
"Msi2",1.45516911095118e-89,1.43935340305974,0.371,0.24,2.7748619776728e-85,"0","Msi2"
"Mycbp2",1.20146822296537e-87,1.45597769927423,0.35,0.219,2.29107975437267e-83,"0","Mycbp2"
"Appl2",2.24471530641225e-87,1.59227109009725,0.269,0.14,4.28044761779753e-83,"0","Appl2"
"Shank21",2.62745426895367e-87,1.49679409458045,0.315,0.183,5.01029254546776e-83,"0","Shank2"
"Arglu1",3.04945013027191e-87,1.62008651015041,0.266,0.137,5.81499645341551e-83,"0","Arglu1"
"Usp34",8.12398964524281e-87,1.53993504070888,0.305,0.174,1.54916358545135e-82,"0","Usp34"
"Ogt",3.2350416874817e-86,1.54451749545393,0.299,0.168,6.16890099385886e-82,"0","Ogt"
"Ptprk",5.74393717840484e-86,1.35763002698203,0.38,0.25,1.09531138055002e-81,"0","Ptprk"
"Palmd1",6.05912948300035e-86,0.846618904419331,0.58,0.424,1.15541540111334e-81,"0","Palmd"
"Golga4",9.52392100347777e-86,1.63133014040254,0.302,0.174,1.81611649615318e-81,"0","Golga4"
"Macf1",1.31331650142803e-85,1.45851078053261,0.354,0.224,2.50436323657312e-81,"0","Macf1"
"Thrb",1.17223471822447e-84,1.48792212046038,0.331,0.201,2.23533438418225e-80,"0","Thrb"
"Ivns1abp",3.05955909638686e-84,1.30385130332057,0.421,0.301,5.8342732409001e-80,"0","Ivns1abp"
"Eif4g1",6.99835450866445e-84,1.2724288915324,0.389,0.263,1.33451622125722e-79,"0","Eif4g1"
"Hsp90b11",4.49623837867131e-83,0.75850651717757,0.595,0.453,8.57387696428831e-79,"0","Hsp90b1"
"Ankrd17",6.29748289933107e-83,1.4750746683374,0.307,0.179,1.20086701407344e-78,"0","Ankrd17"
"Dgkg",1.17584311093166e-82,1.5689321036279,0.282,0.156,2.24221522823559e-78,"0","Dgkg"
